code_good_service,name_good_service,short_name_good_service
0999,All items of consumer price index,All items
01,Food and Non-Alcoholic Beverages,Food and drink
02,"Alcholoic Beverages, Tobacco and Narcotics",Alcoholic beverages and tobacco
03,Clothing and Footwear,Clothing
04,"Housing, Water, Electricity, Gas and Other Fuels",Housing expenses
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance
06,Health,Health
07,Transport ,Transport
08,Information and Communication,Information and Communication
09,"Recreation, Sport, Culture, Gardens and Pets",Recreation
10,Education Services,Education
11,Resturants and Accomodation Services,Hospitality
12+13,Miscellaneous Goods and Services (12+13),Miscellaneous
12,Insurance and Financial Services,Financial services
13,"Personal Care, Social Protection and Miscellaneous Goods and Services ",Personal care and miscellaneous